Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,BR_Density,Room_Density,Dist_to_City,RecID,SetID
122700,4.1029,33,393,76,330,80,32.58,-117.1,5309.059492,195170.2491,16140.45463,685639.9332,753584.4741,4.342105263,4.9125,16140.45463,44,O
136800,4.8646,29,1061,202,759,206,32.58,-117.1,5309.059492,195170.2491,16140.45463,685639.9332,753584.4741,3.757425743,5.150485437,16140.45463,45,O
127600,2.3824,27,2616,591,1889,577,32.58,-117.1,5309.059492,195170.2491,16140.45463,685639.9332,753584.4741,3.196277496,4.533795494,16140.45463,46,O
135300,3.0273,12,2565,567,1785,545,32.58,-117.09,5866.478867,195677.6842,16495.46891,686219.8259,754167.9237,3.148148148,4.706422018,16495.46891,47,O
142700,3.9698,15,1462,274,1002,271,32.58,-117.08,6511.655861,196188.207,16894.96641,686800.4351,754752.0133,3.656934307,5.394833948,16894.96641,48,O
131000,3.2687,22,2128,477,1420,450,32.58,-117.08,6511.655861,196188.207,16894.96641,686800.4351,754752.0133,2.976939203,4.728888889,16894.96641,49,O
147700,3.8529,17,2724,567,2213,554,32.58,-117.06,7977.701159,197218.4197,17815.11182,687963.7957,755922.1067,3.902998236,4.916967509,17815.11182,51,O
107600,3.4792,13,3435,708,1761,699,32.58,-117.06,7977.701159,197218.4197,17815.11182,687963.7957,755922.1067,2.487288136,4.91416309,17815.11182,52,O
142400,3.5125,11,2879,679,2098,673,32.58,-117.06,7977.701159,197218.4197,17815.11182,687963.7957,755922.1067,3.089837997,4.277860327,17815.11182,53,O
136900,4.1518,22,2101,399,1551,371,32.58,-117.05,8769.24635,197738.0617,18329.67902,688546.5436,756508.1074,3.887218045,5.663072776,18329.67902,54,O
134800,4.087,23,1918,339,1392,340,32.58,-117.05,8769.24635,197738.0617,18329.67902,688546.5436,756508.1074,4.10619469,5.641176471,18329.67902,55,O
132700,5.3072,25,2185,370,1558,369,32.58,-117.05,8769.24635,197738.0617,18329.67902,688546.5436,756508.1074,4.210810811,5.921409214,18329.67902,56,O
152100,5.0311,14,2355,406,1883,401,32.58,-117.04,9587.088876,198260.696,18876.68489,689130.0007,757094.7422,4.637931034,5.872817955,18876.68489,57,O
132100,4.0089,20,2029,357,1497,353,32.58,-117.04,9587.088876,198260.696,18876.68489,689130.0007,757094.7422,4.193277311,5.747875354,18876.68489,58,O
144500,2.6724,28,2793,706,1825,676,32.59,-117.12,5673.430858,193224.9636,14500.70695,683607.5667,751548.2427,2.584985836,4.131656805,14500.70695,59,O
153100,2.1179,18,2329,580,1538,567,32.59,-117.11,5907.93737,193728.5251,14776.65271,684186.693,752131.0141,2.651724138,4.107583774,14776.65271,61,O
87500,2.0734,21,2350,667,1621,613,32.59,-117.1,6275.034711,194235.2251,15105.67475,684766.5391,752714.4281,2.430284858,3.83360522,15105.67475,62,O
153000,2.7048,8,2888,662,2441,683,32.59,-117.08,7320.52081,195257.9424,15909.25014,685928.3835,753883.1782,3.687311178,4.2284041,15909.25014,63,O
134400,2.3929,30,144,52,220,48,32.59,-117.08,7320.52081,195257.9424,15909.25014,685928.3835,753883.1782,4.230769231,3,15909.25014,64,O
96200,1.6007,21,1779,466,1327,488,32.59,-117.07,7958.11865,195773.911,16376.66407,686510.378,754468.5113,2.847639485,3.645491803,16376.66407,65,O
148800,4.0616,13,3920,775,2814,760,32.59,-117.06,8650.41676,196292.9207,16883.09783,687093.0851,755054.4811,3.630967742,5.157894737,16883.09783,66,O
131900,4.2679,26,1919,345,1326,341,32.59,-117.05,9385.318206,196814.9474,17425.14961,687676.5029,755641.0861,3.843478261,5.627565982,17425.14961,67,O
98300,3.0495,16,4683,929,3073,865,32.59,-117.05,9385.318206,196814.9474,17425.14961,687676.5029,755641.0861,3.307857912,5.413872832,17425.14961,68,O
98100,3.0365,19,1902,335,1102,313,32.59,-117.02,11763.7681,198398.8907,19233.93507,689431.0022,757404.6975,3.289552239,6.076677316,19233.93507,69,O
67500,1.9267,18,2602,551,1042,550,32.6,-117.07,8351.132708,194847.9549,15437.96137,685639.6903,753600.9185,1.891107078,4.730909091,15437.96137,71,O
106300,2.2903,13,1607,435,983,400,32.6,-117.07,8351.132708,194847.9549,15437.96137,685639.6903,753600.9185,2.259770115,4.0175,15437.96137,72,O
94600,1.7472,25,1075,238,434,234,32.6,-117.06,9079.756762,195369.3656,15974.12395,686223.0688,754187.4938,1.823529412,4.594017094,15974.12395,73,O
107300,2.4191,24,1088,268,1095,246,32.6,-117.06,9079.756762,195369.3656,15974.12395,686223.0688,754187.4938,4.085820896,4.422764228,15974.12395,74,O
108200,2.7014,33,905,205,989,222,32.6,-117.06,9079.756762,195369.3656,15974.12395,686223.0688,754187.4938,4.824390244,4.076576577,15974.12395,75,O
139800,4.2241,20,8052,1461,5094,1430,32.6,-117.04,10635.10157,196421.2166,17149.78013,687391.9549,755362.5474,3.486652977,5.630769231,17149.78013,76,O
152900,3.9076,18,4747,846,3002,872,32.6,-117.04,10635.10157,196421.2166,17149.78013,687391.9549,755362.5474,3.548463357,5.443807339,17149.78013,77,O
143400,5.152,26,1335,224,742,215,32.6,-117.03,11448.50307,196951.6087,17782.44347,687977.4588,755951.0229,3.3125,6.209302326,17782.44347,78,O
118800,2.1548,23,1157,309,640,313,32.61,-117.09,6219.14339,192885.4487,13509.8704,683603.7335,751561.5116,2.071197411,3.696485623,13509.8704,79,O
149100,3.3514,27,2264,525,1485,468,32.61,-117.08,6918.750001,193403.1668,13994.69626,684186.3592,752147.4197,2.828571429,4.837606838,13994.69626,81,O
135500,2.1441,22,5016,1331,3222,1196,32.61,-117.07,7669.051678,193923.9528,14523.74048,684769.6984,752733.9653,2.420736289,4.193979933,14523.74048,82,O
128400,2.1765,10,1686,414,1000,391,32.61,-117.07,7669.051678,193923.9528,14523.74048,684769.6984,752733.9653,2.415458937,4.31202046,14523.74048,83,O
128300,2.8489,34,4325,1015,2609,979,32.61,-117.06,8456.565533,194447.782,15092.3537,685353.7494,753321.1469,2.57044335,4.417773238,15092.3537,84,O
152300,2.0571,24,4369,1353,3123,1247,32.61,-117.06,8456.565533,194447.782,15092.3537,685353.7494,753321.1469,2.308203991,3.503608661,15092.3537,85,O
131100,2.5625,23,1630,362,1267,418,32.61,-117.06,8456.565533,194447.782,15092.3537,685353.7494,753321.1469,3.5,3.899521531,15092.3537,86,O
139900,3.5096,31,4033,715,2585,715,32.61,-117.05,9271.814405,194974.63,15696.23622,685938.5103,753908.9631,3.615384615,5.640559441,15696.23622,87,O
129700,3.2633,21,6034,1205,3795,1146,32.61,-117.05,9271.814405,194974.63,15696.23622,685938.5103,753908.9631,3.149377593,5.265270506,15696.23622,88,O
139300,3.8615,26,1563,286,1145,313,32.61,-117.05,9271.814405,194974.63,15696.23622,685938.5103,753908.9631,4.003496503,4.993610224,15696.23622,89,O
189700,3.9167,36,786,125,408,138,32.62,-117.06,7940.899171,193528.1981,14242.84048,684485.1296,752455.4428,3.264,5.695652174,14242.84048,101,O
144500,4.2851,34,3928,686,2315,681,32.62,-117.05,8803.937007,194057.4829,14881.16654,685070.5637,753043.8659,3.374635569,5.767988253,14881.16654,102,O
156000,4.9962,26,3620,607,2000,593,32.62,-117.04,9680.621506,194589.7622,15549.66633,685656.7055,753632.9217,3.294892916,6.10455312,15549.66633,103,O
151900,4.6793,27,1710,282,1089,297,32.62,-117.04,9680.621506,194589.7622,15549.66633,685656.7055,753632.9217,3.861702128,5.757575758,15549.66633,104,O
184300,4.7068,6,7995,1458,4771,1376,32.62,-116.98,14816.11511,197844.9624,20016.25304,689188.3167,757180.4597,3.272290809,5.810319767,20016.25304,105,O
67500,3.5357,26,1617,279,2745,250,32.63,-117.17,3722.686168,186966.3756,9569.841121,677217.2269,745153.2077,9.838709677,6.468,9569.841121,106,O
478500,8.7991,10,7374,1157,1900,794,32.63,-117.13,2241.544081,188974.4293,9967.572643,679534.4116,747484.9988,1.642178047,9.287153652,9967.572643,107,O
67500,2.4148,27,2920,770,1935,746,32.63,-117.09,4924.093903,191033.6435,11625.76053,681863.1489,749827.1,2.512987013,3.914209115,11625.76053,108,O
150000,1.8417,33,620,161,420,164,32.63,-117.09,4924.093903,191033.6435,11625.76053,681863.1489,749827.1,2.608695652,3.780487805,11625.76053,109,O
159400,2.6146,30,2504,559,1827,490,32.63,-117.08,5782.387404,191556.2484,12185.65762,682447.1244,750414.2249,3.268336315,5.110204082,12185.65762,111,O
146300,2.2788,28,2080,427,1266,434,32.63,-117.08,5782.387404,191556.2484,12185.65762,682447.1244,750414.2249,2.964871194,4.792626728,12185.65762,112,O
156900,3.455,37,2303,379,1026,357,32.63,-117.07,6661.742303,192081.9231,12789.62049,683031.8128,751001.9866,2.707124011,6.450980392,12789.62049,113,O
154900,3.5583,40,1706,322,796,303,32.63,-117.07,6661.742303,192081.9231,12789.62049,683031.8128,751001.9866,2.472049689,5.630363036,12789.62049,114,O
145500,3.7583,37,2372,444,1056,419,32.63,-117.07,6661.742303,192081.9231,12789.62049,683031.8128,751001.9866,2.378378378,5.661097852,12789.62049,115,O
160200,4.125,37,1326,234,612,240,32.63,-117.06,7554.807737,192610.6426,13431.70615,683617.212,751590.3836,2.615384615,5.525,13431.70615,116,O
169800,4.2204,29,4168,742,2096,713,32.63,-117.06,7554.807737,192610.6426,13431.70615,683617.212,751590.3836,2.824797844,5.8457223,13431.70615,117,O
160100,4.1958,31,4911,861,2334,843,32.63,-117.05,8457.24141,193142.3817,14106.7099,684203.3205,752179.4145,2.710801394,5.825622776,14106.7099,118,O
160200,4.1154,26,2074,356,1228,335,32.63,-117.04,9366.335855,193677.1155,14810.1315,684790.1362,752769.0777,3.449438202,6.191044776,14810.1315,119,O
227700,5.7789,13,2087,313,1165,330,32.63,-117.03,10280.32417,194214.8195,15538.11193,685377.6574,753359.3718,3.722044728,6.324242424,15538.11193,121,O
213700,5.2489,14,2796,476,1466,464,32.63,-117.03,10280.32417,194214.8195,15538.11193,685377.6574,753359.3718,3.079831933,6.025862069,15538.11193,122,O
221600,5.7358,7,6483,976,3269,1005,32.63,-117.01,12118.54808,195299.0393,17055.06859,686554.809,754541.8465,3.349385246,6.450746269,17055.06859,123,O
67500,1.858,23,1619,447,1025,415,32.64,-117.11,2761.130397,189069.8939,9684.190871,679826.748,747787.3061,2.293064877,3.901204819,9684.190871,124,O
134700,2.5658,29,1578,460,1236,461,32.64,-117.1,3647.670875,189588.7519,10178.8999,680409.9698,748373.7632,2.686956522,3.422993492,10178.8999,125,O
145900,2.7218,38,2095,536,1240,550,32.64,-117.09,4554.170814,190110.7314,10732.58845,680993.9077,748960.8598,2.313432836,3.809090909,10732.58845,126,O
142700,2.507,30,3171,862,2126,800,32.64,-117.09,4554.170814,190110.7314,10732.58845,680993.9077,748960.8598,2.466357309,3.96375,10732.58845,127,O
57500,1.6321,20,1999,651,1302,592,32.64,-117.09,4554.170814,190110.7314,10732.58845,680993.9077,748960.8598,2,3.376689189,10732.58845,128,O
131300,1.62,19,2571,791,1205,783,32.64,-117.09,4554.170814,190110.7314,10732.58845,680993.9077,748960.8598,1.523388116,3.283524904,10732.58845,129,O
145800,1.8672,43,1005,230,548,252,32.64,-117.08,5470.717319,190635.8071,11336.61799,681578.5598,749548.5944,2.382608696,3.988095238,11336.61799,131,O
150000,1.9241,38,917,256,494,233,32.64,-117.08,5470.717319,190635.8071,11336.61799,681578.5598,749548.5944,1.9296875,3.935622318,11336.61799,132,O
141700,1.6806,11,1651,533,947,515,32.64,-117.08,5470.717319,190635.8071,11336.61799,681578.5598,749548.5944,1.77673546,3.205825243,11336.61799,133,O
172800,4.1325,32,5135,1025,2152,944,32.64,-117.07,6392.990791,191163.9532,11983.37854,682163.9243,750136.9655,2.099512195,5.439618644,11983.37854,134,O
150400,4.6477,38,1486,269,745,295,32.64,-117.07,6392.990791,191163.9532,11983.37854,682163.9243,750136.9655,2.769516729,5.037288136,11983.37854,135,O
129500,2.24,30,2873,774,1593,731,32.64,-117.07,6392.990791,191163.9532,11983.37854,682163.9243,750136.9655,2.058139535,3.930232558,11983.37854,136,O
186100,5.766,30,4494,667,1883,680,32.64,-117.06,7318.826513,191695.1444,12666.32606,682749.9994,750725.9716,2.823088456,6.608823529,12666.32606,137,O
225600,4.0298,5,2329,542,1213,514,32.64,-117.04,9176.86889,192766.5615,14119.51581,683924.274,751905.8827,2.23800738,4.531128405,14119.51581,138,O
281700,6.5151,5,260,41,157,42,32.64,-117.02,11039.83017,193849.8578,15661.853,685101.3689,753088.3157,3.829268293,6.19047619,15661.853,139,O
193500,3.9519,15,4331,699,2046,627,32.64,-116.99,13839.14875,195496.6434,18092.34664,686872.2675,754866.6679,2.927038627,6.907496013,18092.34664,141,O
61800,1.4648,28,1608,409,567,254,32.64,-116.2,8061.174734,246355.8849,90345.89882,735618.9145,803598.59,1.386308068,6.330708661,90345.89882,142,O
145800,2.619,20,1445,323,573,334,32.65,-117.09,4439.268497,189189.852,9883.89919,680125.3707,748095.2664,1.773993808,4.326347305,9883.89919,143,O
150000,2.6296,25,3509,985,2359,899,32.65,-117.09,4439.268497,189189.852,9883.89919,680125.3707,748095.2664,2.394923858,3.903225806,9883.89919,144,O
147000,2.5392,17,2633,712,1487,694,32.65,-117.08,5375.346838,189717.4167,10536.62301,680710.7006,748683.6116,2.088483146,3.793948127,10536.62301,145,O
123800,2.3562,28,2296,603,1277,550,32.65,-117.08,5375.346838,189717.4167,10536.62301,680710.7006,748683.6116,2.11774461,4.174545455,10536.62301,146,O
204900,3.4701,12,4131,891,2272,840,32.65,-117.07,6311.47475,190248.0524,11229.47865,681296.7424,749272.593,2.549943883,4.917857143,11229.47865,147,O
247800,4.2155,8,8806,1401,3159,1059,32.65,-117.04,9120.00321,191858.1298,13485.33716,683059.1216,751043.3388,2.254817987,8.315391879,13485.33716,148,O
290500,7.6344,14,1111,142,472,145,32.65,-117.03,10056.20513,192400.7946,14280.83691,683647.9931,751634.8496,3.323943662,7.662068966,14280.83691,149,O
127100,2.1949,22,2680,643,1644,516,32.65,-116.45,12876.37389,228175.5562,66950.4919,718947.7605,786971.0619,2.556765163,5.19379845,66950.4919,151,O
60000,1.125,52,16,4,8,3,32.66,-117.12,2026.1852,186699.5073,7293.46137,677503.803,745467.2814,2,5.333333333,7293.46137,152,O
118800,1.625,52,25,5,14,9,32.66,-117.11,2834.23753,187220.2089,7827.338051,678087.6657,746054.3218,2.8,2.777777778,7827.338051,153,O
106300,2.1542,27,1782,560,1785,560,32.66,-117.1,3703.146429,187744.0602,8431.575916,678672.2456,746642.0025,3.1875,3.182142857,8431.575916,154,O
127100,1.8333,38,833,206,570,182,32.66,-117.09,4598.543217,188271.0351,9092.157778,679257.5408,747230.3219,2.766990291,4.576923077,9092.157778,155,O
114300,1.6389,37,1232,330,1086,330,32.66,-117.09,4598.543217,188271.0351,9092.157778,679257.5408,747230.3219,3.290909091,3.733333333,9092.157778,156,O
136300,3.375,46,844,147,423,161,32.66,-117.09,4598.543217,188271.0351,9092.157778,679257.5408,747230.3219,2.87755102,5.242236025,9092.157778,157,O
103400,2.81,43,1004,236,839,235,32.66,-117.08,5507.524038,188801.1072,9797.693746,679843.5495,747819.2787,3.555084746,4.272340426,9797.693746,158,O
234600,5.6889,33,3425,511,1528,479,32.66,-117.06,7346.01991,189870.4396,11309.49021,681017.6998,748999.0979,2.990215264,7.150313152,11309.49021,159,O
303900,4.1442,22,3362,630,1471,612,32.66,-117.04,9198.198472,190951.8508,12915.91148,682194.6817,750181.4483,2.334920635,5.493464052,12915.91148,161,O
273600,6.6272,19,771,103,376,108,32.66,-117.02,11057.18589,192045.137,14585.72601,683374.4806,751366.3176,3.650485437,7.138888889,14585.72601,162,O
293900,6.9664,11,9992,1368,4495,1316,32.66,-117.01,11988.24355,192596.17,15438.00933,683965.4319,751959.6932,3.285818713,7.592705167,15438.00933,163,O
93000,1.6094,43,515,146,445,140,32.67,-117.11,3456.403672,186298.434,6979.852997,677219.1845,745188.8027,3.047945205,3.678571429,6979.852997,164,O
92500,1.6806,46,928,236,790,235,32.67,-117.11,3456.403672,186298.434,6979.852997,677219.1845,745188.8027,3.347457627,3.94893617,6979.852997,165,O
47500,1.7961,52,204,74,248,57,32.67,-117.11,3456.403672,186298.434,6979.852997,677219.1845,745188.8027,3.351351351,3.578947368,6979.852997,166,O
83300,1.4844,52,280,71,217,71,32.67,-117.11,3456.403672,186298.434,6979.852997,677219.1845,745188.8027,3.056338028,3.943661972,6979.852997,167,O
109100,2.0982,26,2629,763,2721,767,32.67,-117.1,4198.3904,186824.8104,7651.241701,677804.4451,745777.0965,3.566186107,3.427640156,7651.241701,168,O
110600,2.0213,22,1690,541,1669,494,32.67,-117.1,4198.3904,186824.8104,7651.241701,677804.4451,745777.0965,3.085027726,3.421052632,7651.241701,169,O
117000,2.0972,37,1157,332,983,306,32.67,-117.09,5005.892187,187354.3109,8373.533565,678390.4206,746366.0287,2.960843373,3.781045752,8373.533565,171,O
108900,2.052,31,2051,549,1581,538,32.67,-117.09,5005.892187,187354.3109,8373.533565,678390.4206,746366.0287,2.879781421,3.812267658,8373.533565,172,O
118200,2.5662,31,3008,764,2088,757,32.67,-117.08,5851.85015,187886.9091,9134.661577,678977.1092,746955.5978,2.732984293,3.973579921,9134.661577,173,O
112300,2.3814,28,2758,623,2179,631,32.67,-117.07,6721.760384,188422.5787,9925.69558,679564.509,747545.8024,3.497592295,4.370839937,9925.69558,174,O
95600,1.8977,35,3200,725,1723,610,32.67,-117.07,6721.760384,188422.5787,9925.69558,679564.509,747545.8024,2.376551724,5.245901639,9925.69558,175,O
125000,4.0505,29,4047,754,2353,730,32.67,-117.06,7607.410462,188961.2935,10740.02961,680152.6181,748136.6408,3.120689655,5.543835616,10740.02961,176,O
137800,3.9646,32,4227,785,2842,795,32.67,-117.05,8503.884046,189503.0277,11572.74609,680741.4348,748728.1117,3.620382166,5.316981132,11572.74609,177,O
153800,5.4863,16,2168,343,1589,338,32.67,-117.05,8503.884046,189503.0277,11572.74609,680741.4348,748728.1117,4.632653061,6.414201183,11572.74609,178,O
137500,4.0668,14,3464,683,2139,734,32.67,-117.04,9408.087604,190047.7554,12420.14816,681330.957,749320.2134,3.131771596,4.719346049,12420.14816,179,O
245200,6.5772,20,1505,184,635,182,32.67,-117.02,11232.2039,191146.0885,14148.4124,682512.1112,750506.3035,3.451086957,8.269230769,14148.4124,181,O
266900,5.551,17,2319,348,1125,337,32.67,-117.01,12149.75833,191699.6432,15025.42638,683103.7395,751100.2889,3.232758621,6.881305638,15025.42638,182,O
264100,6.6143,16,2238,307,1002,303,32.67,-117,13069.94907,192256.0896,15909.13932,683696.0661,751694.8992,3.263843648,7.386138614,15909.13932,183,O
293100,6.2578,9,2652,393,1355,362,32.67,-116.89,13574.1812,198560.8093,25872.83971,690257.2318,758276.4331,3.44783715,7.325966851,25872.83971,184,O
67700,2.0625,6,2804,581,2807,594,32.67,-115.52,10208.79041,295970.126,153654.2628,778140.4641,845829.9808,4.831325301,4.720538721,153654.2628,185,O
75500,2.1776,35,2159,492,1694,475,32.67,-115.5,8345.654078,297558.8225,155524.7771,779497.5269,847176.0011,3.443089431,4.545263158,155524.7771,186,O
70100,1.375,25,2322,573,2185,602,32.67,-115.49,7415.788324,298354.3328,156460.0428,780176.7626,847849.6638,3.813263525,3.857142857,156460.0428,187,O
73100,1.4828,24,1266,275,1083,298,32.67,-115.49,7415.788324,298354.3328,156460.0428,780176.7626,847849.6638,3.938181818,4.248322148,156460.0428,188,O
84700,1.1311,29,1523,440,1302,393,32.67,-115.49,7415.788324,298354.3328,156460.0428,780176.7626,847849.6638,2.959090909,3.875318066,156460.0428,189,O
104900,2.0114,20,2569,737,2341,705,32.68,-117.09,5607.510624,186439.7104,7748.397066,677524.0129,745502.389,3.176390773,3.643971631,7748.397066,201,O
112400,2.9318,26,3071,615,2156,568,32.68,-117.08,6374.036484,186974.8533,8565.170324,678111.3825,746092.5714,3.505691057,5.406690141,8565.170324,202,O
122600,1.324,19,3635,1078,3127,1098,32.68,-117.08,6374.036484,186974.8533,8565.170324,678111.3825,746092.5714,2.900742115,3.310564663,8565.170324,203,O
142200,5.0827,18,1475,267,1149,268,32.68,-117.07,7180.87944,187513.0674,9404.13978,678699.4629,746683.3889,4.303370787,5.503731343,9404.13978,204,O
125800,2.85,38,1481,317,1080,291,32.68,-117.06,8015.874289,188054.3265,10259.86179,679288.2523,747274.8399,3.406940063,5.089347079,10259.86179,205,O
125000,2.0959,36,3815,796,2945,728,32.68,-117.06,8015.874289,188054.3265,10259.86179,679288.2523,747274.8399,3.699748744,5.240384615,10259.86179,206,O
113500,2.375,41,2665,515,1664,512,32.68,-117.06,8015.874289,188054.3265,10259.86179,679288.2523,747274.8399,3.231067961,5.205078125,10259.86179,207,O
129800,3.9922,35,3414,580,1761,522,32.68,-117.05,8871.075145,188598.6043,11128.47246,679877.7487,747866.9229,3.036206897,6.540229885,11128.47246,208,O
150400,3.5664,19,1469,275,1010,292,32.68,-117.05,8871.075145,188598.6043,11128.47246,679877.7487,747866.9229,3.672727273,5.030821918,11128.47246,209,O
